Record ID,Granite type,Geological Group ID,reported_type_normalized,filter_status
R0236,S,GG0049,S,excluded_group_protocol
R0237,S,GG0049,S,excluded_group_protocol
R0238,S,GG0049,S,excluded_group_protocol
R0239,S,GG0049,S,excluded_group_protocol
R0240,S,GG0049,S,excluded_group_protocol
R0241,S,GG0049,S,excluded_group_protocol
R0242,S,GG0049,S,excluded_group_protocol
R0243,S,GG0049,S,excluded_group_protocol
R0244,S,GG0025,S,retained
R0245,S,GG0025,S,retained
R0246,S,GG0025,S,retained
R0247,S,GG0025,S,retained
R0248,S,GG0025,S,retained
R0249,S,GG0025,S,retained
R0250,S,GG0025,S,retained
R0251,S,GG0025,S,retained
R0252,S,GG0025,S,retained
R0253,S,GG0025,S,retained
R0254,S,GG0025,S,retained
R0255,S,GG0025,S,retained
R0256,A,GG0050,A,retained
R0257,A,GG0050,A,retained
R0258,A,GG0050,A,retained
R0259,A,GG0050,A,retained
R0260,A,GG0050,A,retained
R0261,A,GG0050,A,retained
R0262,S,GG0051,S,retained
R0263,S,GG0051,S,retained
R0264,S,GG0051,S,retained
R0265,S,GG0051,S,retained
R0266,S,GG0051,S,retained
R0267,S,GG0038,S,retained
R0268,S,GG0038,S,retained
R0269,S,GG0020,S,retained
R0270,S,GG0020,S,retained
R0271,S,GG0020,S,retained
R0272,S,GG0020,S,retained
R0273,S,GG0020,S,retained
R0274,S,GG0047,S,retained
R0275,S,GG0047,S,retained
R0276,S,GG0047,S,retained
R0277,S,GG0052,S,excluded_group_protocol
R0278,S,GG0052,S,excluded_group_protocol
R0279,S,GG0052,S,excluded_group_protocol
R0280,A,GG0053,A,retained
R0281,A,GG0053,A,retained
R0282,A,GG0053,A,retained
R0283,A,GG0053,A,retained
R0284,A,GG0053,A,retained
R0285,A,GG0053,A,retained
R0286,S,GG0038,S,retained
R0287,S,GG0038,S,retained
R0288,S,GG0038,S,retained
R0289,S,GG0038,S,retained
R0290,S,GG0038,S,retained
R0291,S,GG0038,S,retained
R0292,S,GG0038,S,retained
R0293,S,GG0038,S,retained
R0294,S,GG0038,S,retained
R0295,S,GG0038,S,retained
R0296,S,GG0038,S,retained
R0297,S,GG0038,S,retained
R0298,S,GG0038,S,retained
R0299,S,GG0038,S,retained
R0300,S,GG0038,S,retained
R0301,S,GG0038,S,retained
R0302,S,GG0038,S,retained
R0303,S,GG0038,S,retained
R0304,S,GG0038,S,retained
R0305,S,GG0038,S,retained
R0306,S,GG0038,S,retained
R0307,S,GG0038,S,retained
R0308,S,GG0038,S,retained
R0309,S,GG0038,S,retained
R0310,S,GG0038,S,retained
R0311,S,GG0038,S,retained
R0312,S,GG0038,S,retained
R0313,S,GG0038,S,retained
R0314,S,GG0038,S,retained
R0315,S,GG0038,S,retained
R0316,S,GG0038,S,retained
R0317,S,GG0038,S,retained
R0318,S,GG0038,S,retained
R0319,S,GG0038,S,retained
R0320,S,GG0038,S,retained
R0321,S,GG0038,S,retained
R0322,S,GG0038,S,retained
R0323,S,GG0038,S,retained
R0324,S,GG0038,S,retained
R0325,S,GG0038,S,retained
R0326,S,GG0038,S,retained
R0327,S,GG0038,S,retained
R0328,S,GG0038,S,retained
R0329,S,GG0038,S,retained
R0330,S,GG0038,S,retained
R0331,S,GG0038,S,retained
R0332,S,GG0038,S,retained
R0333,S,GG0038,S,retained
R0334,S,GG0038,S,retained
R0335,S,GG0038,S,retained
R0336,S,GG0038,S,retained
R0337,S,GG0038,S,retained
R0338,S,GG0038,S,retained
R0339,S,GG0054,S,excluded_group_protocol
R0340,S,GG0054,S,excluded_group_protocol
R0341,S,GG0054,S,excluded_group_protocol
R0342,S,GG0054,S,excluded_group_protocol
R0343,S,GG0054,S,excluded_group_protocol
R0344,S,GG0054,S,excluded_group_protocol
R0345,S,GG0054,S,excluded_group_protocol
R0346,S,GG0054,S,excluded_group_protocol
R0347,S,GG0054,S,excluded_group_protocol
R0348,S,GG0054,S,excluded_group_protocol
R0349,S,GG0054,S,excluded_group_protocol
R0350,S,GG0054,S,excluded_group_protocol
R0351,S,GG0054,S,excluded_group_protocol
R0352,S,GG0054,S,excluded_group_protocol
R0353,S,GG0054,S,excluded_group_protocol
R0354,S,GG0054,S,excluded_group_protocol
R0355,S,GG0054,S,excluded_group_protocol
R0356,S,GG0054,S,excluded_group_protocol
R0357,S,GG0054,S,excluded_group_protocol
R0358,S,GG0054,S,excluded_group_protocol
R0359,S,GG0054,S,excluded_group_protocol
R0360,S,GG0021,S,retained
R0361,S,GG0021,S,retained
R0362,S,GG0021,S,retained
R0363,S,GG0021,S,retained
R0364,S,GG0021,S,retained
R0365,S,GG0021,S,retained
R0366,S,GG0021,S,retained
R0367,S,GG0021,S,retained
R0368,S,GG0021,S,retained
R0369,S,GG0021,S,retained
R0370,S,GG0034,S,retained
R0371,S,GG0034,S,retained
R0372,S,GG0034,S,retained
R0373,S,GG0034,S,retained
R0374,S,GG0034,S,retained
R0375,S,GG0034,S,retained
R0376,S,GG0034,S,retained
R0377,S,GG0034,S,retained
R0378,I,GG0055,I,retained
R0379,I,GG0055,I,retained
R0380,I,GG0055,I,retained
R0381,I,GG0055,I,retained
R0382,I,GG0055,I,retained
R0383,S,GG0038,S,retained
R0384,S,GG0038,S,retained
R0385,S,GG0038,S,retained
R0386,S,GG0038,S,retained
R0387,S,GG0038,S,retained
R0388,S,GG0038,S,retained
R0389,S,GG0038,S,retained
R0390,S,GG0038,S,retained
R0391,S,GG0038,S,retained
R0392,S,GG0038,S,retained
R0393,S,GG0038,S,retained
R0394,S,GG0038,S,retained
R0395,S,GG0038,S,retained
R0396,S,GG0038,S,retained
R0397,S,GG0038,S,retained
R0398,S,GG0038,S,retained
R0399,S,GG0038,S,retained
R0400,S,GG0038,S,retained
R0401,S,GG0038,S,retained
R0402,S,GG0038,S,retained
R0403,S,GG0038,S,retained
R0404,S,GG0038,S,retained
R0405,S,GG0038,S,retained
R0406,S,GG0038,S,retained
R0407,S,GG0038,S,retained
R0408,S,GG0038,S,retained
R0409,S,GG0038,S,retained
R0410,S,GG0038,S,retained
R0411,S,GG0038,S,retained
R0412,S,GG0038,S,retained
R0413,S,GG0038,S,retained
R0414,S,GG0038,S,retained
R0415,S,GG0038,S,retained
R0416,S,GG0038,S,retained
R0417,S,GG0038,S,retained
R0418,S,GG0038,S,retained
R0419,S,GG0038,S,retained
R0420,S,GG0038,S,retained
R0421,S,GG0038,S,retained
R0422,S,GG0038,S,retained
R0423,S,GG0038,S,retained
R0424,S,GG0038,S,retained
R0425,S,GG0038,S,retained
R0426,S,GG0038,S,retained
R0427,S,GG0038,S,retained
R0428,S,GG0038,S,retained
R0429,S,GG0056,S,retained
R0430,S,GG0056,S,retained
R0431,S,GG0056,S,retained
R0432,S,GG0056,S,retained
R0433,S,GG0056,S,retained
R0434,S,GG0056,S,retained
R0435,S,GG0056,S,retained
R0436,S,GG0056,S,retained
R0437,S,GG0038,S,retained
R0438,S,GG0038,S,retained
R0439,S,GG0038,S,retained
R0440,S,GG0038,S,retained
R0441,S,GG0038,S,retained
R0442,S,GG0038,S,retained
R0443,S,GG0038,S,retained
R0444,S,GG0038,S,retained
R0445,S,GG0038,S,retained
R0446,S,GG0038,S,retained
R0447,S,GG0038,S,retained
R0448,S,GG0038,S,retained
R0449,S,GG0038,S,retained
R0450,S,GG0038,S,retained
R0451,S,GG0038,S,retained
R0452,S,GG0038,S,retained
R0453,S,GG0038,S,retained
R0454,S,GG0038,S,retained
R0455,S,GG0038,S,retained
R0456,S,GG0038,S,retained
R0457,S,GG0021,S,retained
R0458,S,GG0021,S,retained
R0459,S,GG0021,S,retained
R0460,S,GG0021,S,retained
R0461,S,GG0021,S,retained
R0462,S,GG0021,S,retained
R0463,S,GG0021,S,retained
R0464,S,GG0021,S,retained
R0465,S,GG0021,S,retained
R0466,S,GG0021,S,retained
R0467,S,GG0021,S,retained
R0468,S,GG0021,S,retained
R0469,S,GG0021,S,retained
R0470,S,GG0021,S,retained
R0471,S,GG0021,S,retained
R0472,S,GG0021,S,retained
R0473,S,GG0021,S,retained
R0474,S,GG0021,S,retained
R0475,S,GG0021,S,retained
R0476,S,GG0021,S,retained
R0477,S,GG0021,S,retained
R0478,S,GG0021,S,retained
R0479,S,GG0021,S,retained
R0480,S,GG0021,S,retained
R0481,S,GG0021,S,retained
R0482,S,GG0021,S,retained
R0483,S,GG0021,S,retained
R0484,S,GG0021,S,retained
R0485,S,GG0021,S,retained
R0486,S,GG0021,S,retained
R0487,S,GG0021,S,retained
R0488,S,GG0021,S,retained
R0489,S,GG0021,S,retained
R0490,S,GG0021,S,retained
R0491,S,GG0021,S,retained
R0492,S,GG0021,S,retained
R0493,S,GG0021,S,retained
R0494,S,GG0021,S,retained
R0495,S,GG0021,S,retained
R0496,S,GG0021,S,retained
R0497,S,GG0057,S,excluded_group_protocol
R0498,S,GG0057,S,excluded_group_protocol
R0499,S,GG0057,S,excluded_group_protocol
R0500,S,GG0057,S,excluded_group_protocol
R0501,S,GG0057,S,excluded_group_protocol
R0502,S,GG0057,S,excluded_group_protocol
R0503,S,GG0057,S,excluded_group_protocol
R0504,S,GG0057,S,excluded_group_protocol
R0505,S,GG0057,S,excluded_group_protocol
R0506,S,GG0057,S,excluded_group_protocol
R0507,S,GG0010,S,retained
R0508,S,GG0010,S,retained
R0509,S,GG0010,S,retained
R0510,S,GG0010,S,retained
R0511,S,GG0010,S,retained
R0512,S,GG0010,S,retained
R0513,S,GG0010,S,retained
R0514,S,GG0010,S,retained
R0515,S,GG0010,S,retained
R0516,S,GG0010,S,retained
R0517,S,GG0010,S,retained
R0518,S,GG0038,S,retained
R0519,S,GG0038,S,retained
R0520,S,GG0038,S,retained
R0521,S,GG0038,S,retained
R0522,S,GG0038,S,retained
R0523,S,GG0038,S,retained
R0524,S,GG0038,S,retained
R0525,S,GG0038,S,retained
R0526,S,GG0038,S,retained
R0527,S,GG0038,S,retained
R0528,S,GG0038,S,retained
R0529,S,GG0038,S,retained
R0530,S,GG0038,S,retained
R0531,S,GG0038,S,retained
R0532,S,GG0038,S,retained
R0533,S,GG0038,S,retained
R0534,S,GG0038,S,retained
R0535,S,GG0038,S,retained
R0536,S,GG0028,S,retained
R0537,S,GG0028,S,retained
R0538,S,GG0028,S,retained
R0539,S,GG0028,S,retained
R0540,S,GG0028,S,retained
R0541,S,GG0034,S,retained
R0542,S,GG0034,S,retained
R0543,S,GG0034,S,retained
R0544,S,GG0034,S,retained
R0545,S,GG0034,S,retained
R0546,S,GG0034,S,retained
R0547,S,GG0034,S,retained
R0548,S,GG0034,S,retained
R0549,S,GG0034,S,retained
R0550,S,GG0034,S,retained
R0551,S,GG0034,S,retained
R0552,S,GG0034,S,retained
R0553,S,GG0038,S,retained
R0554,S,GG0038,S,retained
R0555,S,GG0038,S,retained
R0556,S,GG0038,S,retained
R0557,S,GG0038,S,retained
R0558,S,GG0038,S,retained
R0559,S,GG0038,S,retained
R0560,S,GG0038,S,retained
R0561,S,GG0038,S,retained
R0562,S,GG0038,S,retained
R0563,S,GG0038,S,retained
R0564,S,GG0038,S,retained
R0565,S,GG0038,S,retained
R0566,S,GG0038,S,retained
R0567,S,GG0038,S,retained
R0568,S,GG0038,S,retained
R0569,S,GG0038,S,retained
R0570,S,GG0038,S,retained
R0571,S,GG0038,S,retained
R0572,S,GG0038,S,retained
R0573,S,GG0038,S,retained
R0574,S,GG0038,S,retained
R0575,S,GG0038,S,retained
R0576,S,GG0038,S,retained
R0577,S,GG0038,S,retained
R0578,S,GG0038,S,retained
R0579,S,GG0038,S,retained
R0580,S,GG0038,S,retained
R0581,S,GG0038,S,retained
R0582,S,GG0038,S,retained
R0583,S,GG0038,S,retained
R0584,S,GG0038,S,retained
R0585,S,GG0038,S,retained
R0586,S,GG0038,S,retained
R0587,S,GG0038,S,retained
R0588,S,GG0038,S,retained
R0589,S,GG0038,S,retained
R0590,S,GG0038,S,retained
R0591,S,GG0038,S,retained
R0592,S,GG0038,S,retained
R0593,S,GG0038,S,retained
R0594,S,GG0038,S,retained
R0595,S,GG0038,S,retained
R0596,S,GG0058,S,retained
R0597,S,GG0058,S,retained
R0598,S,GG0058,S,retained
R0599,S,GG0058,S,retained
R0600,S,GG0058,S,retained
R0601,S,GG0058,S,retained
R0602,S,GG0058,S,retained
R0603,A,GG0033,A,excluded_group_protocol
R0604,A,GG0033,A,excluded_group_protocol
R0605,A,GG0033,A,excluded_group_protocol
R0606,A,GG0033,A,excluded_group_protocol
R0607,A,GG0033,A,excluded_group_protocol
R0608,A,GG0033,A,excluded_group_protocol
R0609,A,GG0033,A,excluded_group_protocol
R0610,A,GG0033,A,excluded_group_protocol
R0611,A,GG0033,A,excluded_group_protocol
R0612,A,GG0033,A,excluded_group_protocol
R0613,A,GG0033,A,excluded_group_protocol
R0614,A,GG0033,A,excluded_group_protocol
R0615,A,GG0033,A,excluded_group_protocol
R0616,A,GG0033,A,excluded_group_protocol
R0617,A,GG0033,A,excluded_group_protocol
R0618,A,GG0033,A,excluded_group_protocol
R0619,A,GG0033,A,excluded_group_protocol
R0620,A,GG0033,A,excluded_group_protocol
R0621,A,GG0033,A,excluded_group_protocol
R0622,A,GG0033,A,excluded_group_protocol
R0623,A,GG0033,A,excluded_group_protocol
R0624,A,GG0033,A,excluded_group_protocol
R0625,A,GG0033,A,excluded_group_protocol
R0626,A,GG0033,A,excluded_group_protocol
R0627,A,GG0033,A,excluded_group_protocol
R0628,S,GG0038,S,retained
R0629,S,GG0038,S,retained
R0630,S,GG0038,S,retained
R0631,S,GG0038,S,retained
R0632,S,GG0038,S,retained
R0633,S,GG0038,S,retained
R0634,S,GG0038,S,retained
R0635,S,GG0038,S,retained
R0636,S,GG0038,S,retained
R0637,S,GG0035,S,retained
R0638,S,GG0035,S,retained
R0639,S,GG0035,S,retained
R0640,S,GG0035,S,retained
R0641,S,GG0035,S,retained
R0642,S,GG0035,S,retained
R0643,S,GG0035,S,retained
R0644,S,GG0035,S,retained
R0645,S,GG0035,S,retained
R0646,S,GG0035,S,retained
R0647,S,GG0035,S,retained
R0648,S,GG0035,S,retained
R0649,S,GG0035,S,retained
R0650,S,GG0035,S,retained
R0651,S,GG0035,S,retained
R0652,S,GG0035,S,retained
R0653,S,GG0035,S,retained
R0654,S,GG0035,S,retained
R0655,S,GG0035,S,retained
R0656,S,GG0035,S,retained
R0657,S,GG0035,S,retained
R0658,S,GG0035,S,retained
R0659,S,GG0035,S,retained
R0660,S,GG0035,S,retained
R0661,S,GG0035,S,retained
R0662,S,GG0035,S,retained
R0663,S,GG0035,S,retained
R0664,S,GG0035,S,retained
R0665,S,GG0035,S,retained
R0666,S,GG0035,S,retained
R0667,S,GG0035,S,retained
R0668,S,GG0035,S,retained
R0669,S,GG0035,S,retained
R0670,S,GG0035,S,retained
R0671,S,GG0035,S,retained
R0672,S,GG0035,S,retained
R0673,S,GG0035,S,retained
R0674,S,GG0035,S,retained
R0675,S,GG0035,S,retained
R0676,S,GG0035,S,retained
R0677,S,GG0035,S,retained
R0678,S,GG0035,S,retained
R0679,S,GG0035,S,retained
R0680,S,GG0035,S,retained
R0681,S,GG0035,S,retained
R0682,S,GG0035,S,retained
R0683,S,GG0035,S,retained
R0684,S,GG0035,S,retained
R0685,S,GG0035,S,retained
R0686,S,GG0035,S,retained
R0687,S,GG0035,S,retained
R0688,S,GG0035,S,retained
R0689,S,GG0035,S,retained
R0690,S,GG0035,S,retained
R0691,S,GG0035,S,retained
R0692,S,GG0035,S,retained
R0693,S,GG0035,S,retained
R0694,S,GG0035,S,retained
R0695,S,GG0035,S,retained
R0696,S,GG0035,S,retained
R0697,S,GG0035,S,retained
R0698,S,GG0035,S,retained
R0699,S,GG0035,S,retained
R0700,S,GG0035,S,retained
R0701,S,GG0035,S,retained
R0702,S,GG0012,S,retained
R0703,S,GG0012,S,retained
R0704,S,GG0012,S,retained
R0705,S,GG0012,S,retained
R0706,S,GG0012,S,retained
R0707,S,GG0012,S,retained
R0708,S,GG0012,S,retained
R0709,S,GG0012,S,retained
R0710,S,GG0012,S,retained
R0711,S,GG0012,S,retained
R0712,S,GG0012,S,retained
R0713,S,GG0012,S,retained
R0714,S,GG0012,S,retained
R0715,S,GG0012,S,retained
R0716,S,GG0059,S,retained
R0717,S,GG0059,S,retained
R0718,S,GG0059,S,retained
R0719,S,GG0059,S,retained
R0720,S,GG0059,S,retained
R0721,S,GG0059,S,retained
R0722,S,GG0059,S,retained
R0723,S,GG0059,S,retained
R0724,S,GG0059,S,retained
R0725,S,GG0059,S,retained
R0726,S,GG0059,S,retained
R0727,S,GG0059,S,retained
R0728,S,GG0059,S,retained
R0729,S,GG0059,S,retained
R0730,S,GG0059,S,retained
R0731,S,GG0021,S,retained
R0732,S,GG0021,S,retained
R0733,S,GG0021,S,retained
R0734,S,GG0021,S,retained
R0735,S,GG0021,S,retained
R0736,S,GG0021,S,retained
R0737,S,GG0021,S,retained
R0738,S,GG0021,S,retained
R0739,S,GG0021,S,retained
R0740,S,GG0021,S,retained
R0741,S,GG0021,S,retained
R0742,S,GG0021,S,retained
R0743,S,GG0021,S,retained
R0744,S,GG0021,S,retained
R0745,S,GG0021,S,retained
R0746,S,GG0021,S,retained
R0747,S,GG0021,S,retained
R0748,S,GG0021,S,retained
R0749,S,GG0021,S,retained
R0750,S,GG0021,S,retained
R0751,S,GG0021,S,retained
R0752,S,GG0021,S,retained
R0753,S,GG0021,S,retained
R0754,S,GG0021,S,retained
R0755,S,GG0021,S,retained
R0756,S,GG0021,S,retained
R0757,S,GG0021,S,retained
R0758,S,GG0012,S,retained
R0759,S,GG0012,S,retained
R0760,S,GG0012,S,retained
R0761,S,GG0012,S,retained
R0762,S,GG0012,S,retained
R0763,S,GG0012,S,retained
R0764,S,GG0012,S,retained
R0765,S,GG0012,S,retained
R0766,S,GG0012,S,retained
R0767,S,GG0012,S,retained
R0768,S,GG0012,S,retained
R0769,S,GG0012,S,retained
R0770,S,GG0012,S,retained
R0771,S,GG0012,S,retained
R0772,S,GG0012,S,retained
R0773,S,GG0012,S,retained
R0774,S,GG0012,S,retained
R0775,S,GG0060,S,excluded_group_protocol
R0776,S,GG0060,S,excluded_group_protocol
R0777,S,GG0060,S,excluded_group_protocol
R0778,S,GG0060,S,excluded_group_protocol
R0779,S,GG0060,S,excluded_group_protocol
R0780,S,GG0060,S,excluded_group_protocol
R0781,S,GG0060,S,excluded_group_protocol
R0782,S,GG0060,S,excluded_group_protocol
R0783,S,GG0060,S,excluded_group_protocol
R0784,S,GG0060,S,excluded_group_protocol
R0785,S,GG0060,S,excluded_group_protocol
R0786,S,GG0061,S,retained
R0787,S,GG0061,S,retained
R0788,S,GG0061,S,retained
R0789,S,GG0061,S,retained
R0790,S,GG0061,S,retained
R0791,S,GG0061,S,retained
R0792,S,GG0061,S,retained
R0793,S,GG0061,S,retained
R0794,S,GG0061,S,retained
R0795,S,GG0061,S,retained
R0796,S,GG0034,S,retained
R0797,S,GG0034,S,retained
R0798,S,GG0034,S,retained
R0799,S,GG0034,S,retained
R0800,S,GG0034,S,retained
R0801,S,GG0034,S,retained
R0802,S,GG0034,S,retained
R0803,S,GG0034,S,retained
R0804,S,GG0034,S,retained
R0805,S,GG0034,S,retained
R0806,S,GG0034,S,retained
R0807,S,GG0034,S,retained
R0808,S,GG0034,S,retained
R0809,S,GG0034,S,retained
R0810,S,GG0034,S,retained
R0811,S,GG0034,S,retained
R0812,S,GG0034,S,retained
