Record ID,outer_fold_id,role,Geological Group ID,Reference-connected block,reported_type,valid_oof,analysis_protocol_hash,abstain_reason,row_missing_fraction,n_retained_features,retained_features,requested_split_seed,effective_split_seed,split_seed_offset
R0163,1,validation,GG0046,RCB0035,S,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,,0.1,40,SiO2; TiO2; Al2O3; Fe2O3; FeO; MnO; MgO; CaO; Na2O; K2O; P2O5; Rb; Sr; Y; Zr; Nb; Ba; La; Ce; Pr; Nd; Sm; Eu; Gd; Tb; Dy; Ho; Er; Tm; Yb; Lu; Hf; Ta; A/CNK; A/NK; Fe*; K2O/Na2O; Zr/Hf; Eu/Eu*; (La/Yb)N,20260992,20260992,0
R0227,1,validation,GG0047,RCB0036,S,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,,0.0,40,SiO2; TiO2; Al2O3; Fe2O3; FeO; MnO; MgO; CaO; Na2O; K2O; P2O5; Rb; Sr; Y; Zr; Nb; Ba; La; Ce; Pr; Nd; Sm; Eu; Gd; Tb; Dy; Ho; Er; Tm; Yb; Lu; Hf; Ta; A/CNK; A/NK; Fe*; K2O/Na2O; Zr/Hf; Eu/Eu*; (La/Yb)N,20260992,20260992,0
R0274,1,validation,GG0047,RCB0036,S,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,,0.0,40,SiO2; TiO2; Al2O3; Fe2O3; FeO; MnO; MgO; CaO; Na2O; K2O; P2O5; Rb; Sr; Y; Zr; Nb; Ba; La; Ce; Pr; Nd; Sm; Eu; Gd; Tb; Dy; Ho; Er; Tm; Yb; Lu; Hf; Ta; A/CNK; A/NK; Fe*; K2O/Na2O; Zr/Hf; Eu/Eu*; (La/Yb)N,20260992,20260992,0
R0275,1,validation,GG0047,RCB0036,S,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,,0.0,40,SiO2; TiO2; Al2O3; Fe2O3; FeO; MnO; MgO; CaO; Na2O; K2O; P2O5; Rb; Sr; Y; Zr; Nb; Ba; La; Ce; Pr; Nd; Sm; Eu; Gd; Tb; Dy; Ho; Er; Tm; Yb; Lu; Hf; Ta; A/CNK; A/NK; Fe*; K2O/Na2O; Zr/Hf; Eu/Eu*; (La/Yb)N,20260992,20260992,0
R0276,1,validation,GG0047,RCB0036,S,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,,0.0,40,SiO2; TiO2; Al2O3; Fe2O3; FeO; MnO; MgO; CaO; Na2O; K2O; P2O5; Rb; Sr; Y; Zr; Nb; Ba; La; Ce; Pr; Nd; Sm; Eu; Gd; Tb; Dy; Ho; Er; Tm; Yb; Lu; Hf; Ta; A/CNK; A/NK; Fe*; K2O/Na2O; Zr/Hf; Eu/Eu*; (La/Yb)N,20260992,20260992,0
R0280,1,validation,GG0053,RCB0039,A,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,,0.075,40,SiO2; TiO2; Al2O3; Fe2O3; FeO; MnO; MgO; CaO; Na2O; K2O; P2O5; Rb; Sr; Y; Zr; Nb; Ba; La; Ce; Pr; Nd; Sm; Eu; Gd; Tb; Dy; Ho; Er; Tm; Yb; Lu; Hf; Ta; A/CNK; A/NK; Fe*; K2O/Na2O; Zr/Hf; Eu/Eu*; (La/Yb)N,20260992,20260992,0
R0281,1,validation,GG0053,RCB0039,A,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,,0.075,40,SiO2; TiO2; Al2O3; Fe2O3; FeO; MnO; MgO; CaO; Na2O; K2O; P2O5; Rb; Sr; Y; Zr; Nb; Ba; La; Ce; Pr; Nd; Sm; Eu; Gd; Tb; Dy; Ho; Er; Tm; Yb; Lu; Hf; Ta; A/CNK; A/NK; Fe*; K2O/Na2O; Zr/Hf; Eu/Eu*; (La/Yb)N,20260992,20260992,0
R0282,1,validation,GG0053,RCB0039,A,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,,0.075,40,SiO2; TiO2; Al2O3; Fe2O3; FeO; MnO; MgO; CaO; Na2O; K2O; P2O5; Rb; Sr; Y; Zr; Nb; Ba; La; Ce; Pr; Nd; Sm; Eu; Gd; Tb; Dy; Ho; Er; Tm; Yb; Lu; Hf; Ta; A/CNK; A/NK; Fe*; K2O/Na2O; Zr/Hf; Eu/Eu*; (La/Yb)N,20260992,20260992,0
R0283,1,validation,GG0053,RCB0039,A,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,,0.075,40,SiO2; TiO2; Al2O3; Fe2O3; FeO; MnO; MgO; CaO; Na2O; K2O; P2O5; Rb; Sr; Y; Zr; Nb; Ba; La; Ce; Pr; Nd; Sm; Eu; Gd; Tb; Dy; Ho; Er; Tm; Yb; Lu; Hf; Ta; A/CNK; A/NK; Fe*; K2O/Na2O; Zr/Hf; Eu/Eu*; (La/Yb)N,20260992,20260992,0
R0284,1,validation,GG0053,RCB0039,A,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,,0.075,40,SiO2; TiO2; Al2O3; Fe2O3; FeO; MnO; MgO; CaO; Na2O; K2O; P2O5; Rb; Sr; Y; Zr; Nb; Ba; La; Ce; Pr; Nd; Sm; Eu; Gd; Tb; Dy; Ho; Er; Tm; Yb; Lu; Hf; Ta; A/CNK; A/NK; Fe*; K2O/Na2O; Zr/Hf; Eu/Eu*; (La/Yb)N,20260992,20260992,0
R0285,1,validation,GG0053,RCB0039,A,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,,0.075,40,SiO2; TiO2; Al2O3; Fe2O3; FeO; MnO; MgO; CaO; Na2O; K2O; P2O5; Rb; Sr; Y; Zr; Nb; Ba; La; Ce; Pr; Nd; Sm; Eu; Gd; Tb; Dy; Ho; Er; Tm; Yb; Lu; Hf; Ta; A/CNK; A/NK; Fe*; K2O/Na2O; Zr/Hf; Eu/Eu*; (La/Yb)N,20260992,20260992,0
R0832,1,validation,GG0046,RCB0035,S,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,,0.375,40,SiO2; TiO2; Al2O3; Fe2O3; FeO; MnO; MgO; CaO; Na2O; K2O; P2O5; Rb; Sr; Y; Zr; Nb; Ba; La; Ce; Pr; Nd; Sm; Eu; Gd; Tb; Dy; Ho; Er; Tm; Yb; Lu; Hf; Ta; A/CNK; A/NK; Fe*; K2O/Na2O; Zr/Hf; Eu/Eu*; (La/Yb)N,20260992,20260992,0
R0833,1,validation,GG0046,RCB0035,S,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,,0.375,40,SiO2; TiO2; Al2O3; Fe2O3; FeO; MnO; MgO; CaO; Na2O; K2O; P2O5; Rb; Sr; Y; Zr; Nb; Ba; La; Ce; Pr; Nd; Sm; Eu; Gd; Tb; Dy; Ho; Er; Tm; Yb; Lu; Hf; Ta; A/CNK; A/NK; Fe*; K2O/Na2O; Zr/Hf; Eu/Eu*; (La/Yb)N,20260992,20260992,0
R0834,1,validation,GG0046,RCB0035,S,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,,0.375,40,SiO2; TiO2; Al2O3; Fe2O3; FeO; MnO; MgO; CaO; Na2O; K2O; P2O5; Rb; Sr; Y; Zr; Nb; Ba; La; Ce; Pr; Nd; Sm; Eu; Gd; Tb; Dy; Ho; Er; Tm; Yb; Lu; Hf; Ta; A/CNK; A/NK; Fe*; K2O/Na2O; Zr/Hf; Eu/Eu*; (La/Yb)N,20260992,20260992,0
R0835,1,validation,GG0046,RCB0035,S,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,,0.375,40,SiO2; TiO2; Al2O3; Fe2O3; FeO; MnO; MgO; CaO; Na2O; K2O; P2O5; Rb; Sr; Y; Zr; Nb; Ba; La; Ce; Pr; Nd; Sm; Eu; Gd; Tb; Dy; Ho; Er; Tm; Yb; Lu; Hf; Ta; A/CNK; A/NK; Fe*; K2O/Na2O; Zr/Hf; Eu/Eu*; (La/Yb)N,20260992,20260992,0
R0836,1,validation,GG0046,RCB0035,S,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,,0.375,40,SiO2; TiO2; Al2O3; Fe2O3; FeO; MnO; MgO; CaO; Na2O; K2O; P2O5; Rb; Sr; Y; Zr; Nb; Ba; La; Ce; Pr; Nd; Sm; Eu; Gd; Tb; Dy; Ho; Er; Tm; Yb; Lu; Hf; Ta; A/CNK; A/NK; Fe*; K2O/Na2O; Zr/Hf; Eu/Eu*; (La/Yb)N,20260992,20260992,0
R0837,1,validation,GG0046,RCB0035,S,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,,0.375,40,SiO2; TiO2; Al2O3; Fe2O3; FeO; MnO; MgO; CaO; Na2O; K2O; P2O5; Rb; Sr; Y; Zr; Nb; Ba; La; Ce; Pr; Nd; Sm; Eu; Gd; Tb; Dy; Ho; Er; Tm; Yb; Lu; Hf; Ta; A/CNK; A/NK; Fe*; K2O/Na2O; Zr/Hf; Eu/Eu*; (La/Yb)N,20260992,20260992,0
R0838,1,validation,GG0046,RCB0035,S,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,,0.375,40,SiO2; TiO2; Al2O3; Fe2O3; FeO; MnO; MgO; CaO; Na2O; K2O; P2O5; Rb; Sr; Y; Zr; Nb; Ba; La; Ce; Pr; Nd; Sm; Eu; Gd; Tb; Dy; Ho; Er; Tm; Yb; Lu; Hf; Ta; A/CNK; A/NK; Fe*; K2O/Na2O; Zr/Hf; Eu/Eu*; (La/Yb)N,20260992,20260992,0
R0839,1,validation,GG0046,RCB0035,S,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,,0.375,40,SiO2; TiO2; Al2O3; Fe2O3; FeO; MnO; MgO; CaO; Na2O; K2O; P2O5; Rb; Sr; Y; Zr; Nb; Ba; La; Ce; Pr; Nd; Sm; Eu; Gd; Tb; Dy; Ho; Er; Tm; Yb; Lu; Hf; Ta; A/CNK; A/NK; Fe*; K2O/Na2O; Zr/Hf; Eu/Eu*; (La/Yb)N,20260992,20260992,0
R1574,1,validation,GG0096,RCB0059,S,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,,0.0,40,SiO2; TiO2; Al2O3; Fe2O3; FeO; MnO; MgO; CaO; Na2O; K2O; P2O5; Rb; Sr; Y; Zr; Nb; Ba; La; Ce; Pr; Nd; Sm; Eu; Gd; Tb; Dy; Ho; Er; Tm; Yb; Lu; Hf; Ta; A/CNK; A/NK; Fe*; K2O/Na2O; Zr/Hf; Eu/Eu*; (La/Yb)N,20260992,20260992,0
R1575,1,validation,GG0096,RCB0059,S,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,,0.0,40,SiO2; TiO2; Al2O3; Fe2O3; FeO; MnO; MgO; CaO; Na2O; K2O; P2O5; Rb; Sr; Y; Zr; Nb; Ba; La; Ce; Pr; Nd; Sm; Eu; Gd; Tb; Dy; Ho; Er; Tm; Yb; Lu; Hf; Ta; A/CNK; A/NK; Fe*; K2O/Na2O; Zr/Hf; Eu/Eu*; (La/Yb)N,20260992,20260992,0
R1576,1,validation,GG0096,RCB0059,S,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,,0.0,40,SiO2; TiO2; Al2O3; Fe2O3; FeO; MnO; MgO; CaO; Na2O; K2O; P2O5; Rb; Sr; Y; Zr; Nb; Ba; La; Ce; Pr; Nd; Sm; Eu; Gd; Tb; Dy; Ho; Er; Tm; Yb; Lu; Hf; Ta; A/CNK; A/NK; Fe*; K2O/Na2O; Zr/Hf; Eu/Eu*; (La/Yb)N,20260992,20260992,0
R1577,1,validation,GG0096,RCB0059,S,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,,0.0,40,SiO2; TiO2; Al2O3; Fe2O3; FeO; MnO; MgO; CaO; Na2O; K2O; P2O5; Rb; Sr; Y; Zr; Nb; Ba; La; Ce; Pr; Nd; Sm; Eu; Gd; Tb; Dy; Ho; Er; Tm; Yb; Lu; Hf; Ta; A/CNK; A/NK; Fe*; K2O/Na2O; Zr/Hf; Eu/Eu*; (La/Yb)N,20260992,20260992,0
R1578,1,validation,GG0096,RCB0059,S,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,,0.0,40,SiO2; TiO2; Al2O3; Fe2O3; FeO; MnO; MgO; CaO; Na2O; K2O; P2O5; Rb; Sr; Y; Zr; Nb; Ba; La; Ce; Pr; Nd; Sm; Eu; Gd; Tb; Dy; Ho; Er; Tm; Yb; Lu; Hf; Ta; A/CNK; A/NK; Fe*; K2O/Na2O; Zr/Hf; Eu/Eu*; (La/Yb)N,20260992,20260992,0
R1579,1,validation,GG0096,RCB0059,S,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,,0.0,40,SiO2; TiO2; Al2O3; Fe2O3; FeO; MnO; MgO; CaO; Na2O; K2O; P2O5; Rb; Sr; Y; Zr; Nb; Ba; La; Ce; Pr; Nd; Sm; Eu; Gd; Tb; Dy; Ho; Er; Tm; Yb; Lu; Hf; Ta; A/CNK; A/NK; Fe*; K2O/Na2O; Zr/Hf; Eu/Eu*; (La/Yb)N,20260992,20260992,0
R1580,1,validation,GG0096,RCB0059,S,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,,0.0,40,SiO2; TiO2; Al2O3; Fe2O3; FeO; MnO; MgO; CaO; Na2O; K2O; P2O5; Rb; Sr; Y; Zr; Nb; Ba; La; Ce; Pr; Nd; Sm; Eu; Gd; Tb; Dy; Ho; Er; Tm; Yb; Lu; Hf; Ta; A/CNK; A/NK; Fe*; K2O/Na2O; Zr/Hf; Eu/Eu*; (La/Yb)N,20260992,20260992,0
R1581,1,validation,GG0096,RCB0059,S,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,,0.0,40,SiO2; TiO2; Al2O3; Fe2O3; FeO; MnO; MgO; CaO; Na2O; K2O; P2O5; Rb; Sr; Y; Zr; Nb; Ba; La; Ce; Pr; Nd; Sm; Eu; Gd; Tb; Dy; Ho; Er; Tm; Yb; Lu; Hf; Ta; A/CNK; A/NK; Fe*; K2O/Na2O; Zr/Hf; Eu/Eu*; (La/Yb)N,20260992,20260992,0
R1582,1,validation,GG0096,RCB0059,S,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,,0.0,40,SiO2; TiO2; Al2O3; Fe2O3; FeO; MnO; MgO; CaO; Na2O; K2O; P2O5; Rb; Sr; Y; Zr; Nb; Ba; La; Ce; Pr; Nd; Sm; Eu; Gd; Tb; Dy; Ho; Er; Tm; Yb; Lu; Hf; Ta; A/CNK; A/NK; Fe*; K2O/Na2O; Zr/Hf; Eu/Eu*; (La/Yb)N,20260992,20260992,0
R1591,1,validation,GG0039,RCB0031,I,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,,0.05,40,SiO2; TiO2; Al2O3; Fe2O3; FeO; MnO; MgO; CaO; Na2O; K2O; P2O5; Rb; Sr; Y; Zr; Nb; Ba; La; Ce; Pr; Nd; Sm; Eu; Gd; Tb; Dy; Ho; Er; Tm; Yb; Lu; Hf; Ta; A/CNK; A/NK; Fe*; K2O/Na2O; Zr/Hf; Eu/Eu*; (La/Yb)N,20260992,20260992,0
