Record ID,Sample ID,Age reported (Ma),Granite type,Geological Group ID,Geological Group Name,Reference ID,Citation key,Geological group,Geological Group Name_S2,Province / Region,Parent Geological Unit or Included Subunit(s),Group Type,Grouping Rationale,Confidence Level,Number of Samples,Reference ID(s),Reference-connected block,Reference ID normalized
R0029,ZJ-14-1,218.0 ± 1.4 Ma; 226.8 ± 5.7 Ma,S,GG0021,Miao'ershan,REF0004,REF0004,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0030,ZJ-14-2A,218.0 ± 1.4 Ma; 226.8 ± 5.7 Ma,S,GG0021,Miao'ershan,REF0004,REF0004,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0031,ZJ-14-2B,218.0 ± 1.4 Ma; 226.8 ± 5.7 Ma,S,GG0021,Miao'ershan,REF0004,REF0004,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0032,ZJ-14-3,218.0 ± 1.4 Ma; 226.8 ± 5.7 Ma,S,GG0021,Miao'ershan,REF0004,REF0004,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0033,ZJ-14-4,218.0 ± 1.4 Ma; 226.8 ± 5.7 Ma,S,GG0021,Miao'ershan,REF0004,REF0004,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0034,ZJ-14-5,218.0 ± 1.4 Ma; 226.8 ± 5.7 Ma,S,GG0021,Miao'ershan,REF0004,REF0004,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0035,ZY-14-6A,218.0 ± 1.4 Ma; 226.8 ± 5.7 Ma,S,GG0021,Miao'ershan,REF0004,REF0004,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0036,ZJ-14-6B,218.0 ± 1.4 Ma; 226.8 ± 5.7 Ma,S,GG0021,Miao'ershan,REF0004,REF0004,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0060,D0015,428.1 ± 3.6 Ma; 420.3 ± 3.4 Ma; 421.3 ± 3.2 Ma; 408.3 ± 3.5 Ma,S,GG0021,Miao'ershan,REF0008,REF0008,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0061,D0026,428.1 ± 3.6 Ma; 420.3 ± 3.4 Ma; 421.3 ± 3.2 Ma; 408.3 ± 3.5 Ma,S,GG0021,Miao'ershan,REF0008,REF0008,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0062,D0052,428.1 ± 3.6 Ma; 420.3 ± 3.4 Ma; 421.3 ± 3.2 Ma; 408.3 ± 3.5 Ma,S,GG0021,Miao'ershan,REF0008,REF0008,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0063,D0062,428.1 ± 3.6 Ma; 420.3 ± 3.4 Ma; 421.3 ± 3.2 Ma; 408.3 ± 3.5 Ma,S,GG0021,Miao'ershan,REF0008,REF0008,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0064,D0029,428.1 ± 3.6 Ma; 420.3 ± 3.4 Ma; 421.3 ± 3.2 Ma; 408.3 ± 3.5 Ma,S,GG0021,Miao'ershan,REF0008,REF0008,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0065,D0035,428.1 ± 3.6 Ma; 420.3 ± 3.4 Ma; 421.3 ± 3.2 Ma; 408.3 ± 3.5 Ma,S,GG0021,Miao'ershan,REF0008,REF0008,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0066,D0012,428.1 ± 3.6 Ma; 420.3 ± 3.4 Ma; 421.3 ± 3.2 Ma; 408.3 ± 3.5 Ma,S,GG0021,Miao'ershan,REF0008,REF0008,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0067,D0016,428.1 ± 3.6 Ma; 420.3 ± 3.4 Ma; 421.3 ± 3.2 Ma; 408.3 ± 3.5 Ma,S,GG0021,Miao'ershan,REF0008,REF0008,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0068,D0044,428.1 ± 3.6 Ma; 420.3 ± 3.4 Ma; 421.3 ± 3.2 Ma; 408.3 ± 3.5 Ma,S,GG0021,Miao'ershan,REF0008,REF0008,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0069,D0068,428.1 ± 3.6 Ma; 420.3 ± 3.4 Ma; 421.3 ± 3.2 Ma; 408.3 ± 3.5 Ma,S,GG0021,Miao'ershan,REF0008,REF0008,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0070,D0031,428.1 ± 3.6 Ma; 420.3 ± 3.4 Ma; 421.3 ± 3.2 Ma; 408.3 ± 3.5 Ma,S,GG0021,Miao'ershan,REF0008,REF0008,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0071,D0032,428.1 ± 3.6 Ma; 420.3 ± 3.4 Ma; 421.3 ± 3.2 Ma; 408.3 ± 3.5 Ma,S,GG0021,Miao'ershan,REF0008,REF0008,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0072,D0033,428.1 ± 3.6 Ma; 420.3 ± 3.4 Ma; 421.3 ± 3.2 Ma; 408.3 ± 3.5 Ma,S,GG0021,Miao'ershan,REF0008,REF0008,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0073,D0051,428.1 ± 3.6 Ma; 420.3 ± 3.4 Ma; 421.3 ± 3.2 Ma; 408.3 ± 3.5 Ma,S,GG0021,Miao'ershan,REF0008,REF0008,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0074,D0070,428.1 ± 3.6 Ma; 420.3 ± 3.4 Ma; 421.3 ± 3.2 Ma; 408.3 ± 3.5 Ma,S,GG0021,Miao'ershan,REF0008,REF0008,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0075,D0054,210.6 ± 1.6 Ma,S,GG0021,Miao'ershan,REF0008,REF0008,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0076,D0071,210.6 ± 1.6 Ma,S,GG0021,Miao'ershan,REF0008,REF0008,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0077,06DZS-08C,210.6 ± 1.6 Ma,S,GG0021,Miao'ershan,REF0008,REF0008,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0078,06DZS-09A,210.6 ± 1.6 Ma,S,GG0021,Miao'ershan,REF0008,REF0008,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0079,06DZS-09B,210.6 ± 1.6 Ma,S,GG0021,Miao'ershan,REF0008,REF0008,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
